```csv
nomes,idades,massa corporal,sexo
Ana Silva,28,62.5,Feminino
Carlos Oliveira,34,78.0,Masculino
Mariana Santos,45,68.2,Feminino
João Pereira,22,75.5,Masculino
Fernanda Costa,31,59.8,Feminino
Roberto Alves,50,82.4,Masculino
Juliana Rodrigues,27,64.0,Feminino
Pedro Souza,39,85.1,Masculino
Camila Lima,24,56.3,Feminino
Lucas Martins,33,79.6,Masculino
Beatriz Gomes,41,67.9,Feminino
Rafael Ferreira,29,74.2,Masculino
Larissa Ribeiro,36,61.5,Feminino
Gabriel Cardoso,26,80.3,Masculino
Patrícia Dias,48,70.1,Feminino
Thiago Nascimento,32,77.8,Masculino
Vanessa Araújo,23,58.4,Feminino
Bruno Mendes,37,83.5,Masculino
Aline Correia,30,63.7,Feminino
Diego Lopes,44,88.2,Masculino
Carla Pinto,25,55.9,Feminino
André Moreira,35,76.4,Masculino
Daniela Rocha,42,66.8,Feminino
Felipe Cunha,28,72.9,Masculino
Gisele Teixeira,38,60.2,Feminino
Henrique Barbosa,46,84.7,Masculino
Isabela Ramos,21,54.6,Feminino
Marcos Vieira,33,79.1,Masculino
Natália Castro,29,62.3,Feminino
Otávio Duarte,40,81.6,Masculino
Priscila Fonseca,34,65.5,Feminino
Ricardo Nunes,27,73.8,Masculino
Sabrina Moraes,43,69.4,Feminino
Túlio Azevedo,31,78.5,Masculino
Ursula Campos,26,57.1,Feminino
Vinícius Rezende,36,86.3,Masculino
Wanessa Freitas,47,71.2,Feminino
Xavier Borges,24,70.5,Masculino
Yasmin Carvalho,32,59.0,Feminino
Zeca Miranda,39,82.9,Masculino
Alice Medeiros,22,53.8,Feminino
Bernardo Tavares,35,77.2,Masculino
Cristina Pires,49,68.7,Feminino
Daniel Quadros,28,75.0,Masculino
Eliane Batista,33,64.5,Feminino
Fábio Soares,41,89.1,Masculino
Gabriela Nogueira,25,58.9,Feminino
Hugo Jensen,30,74.6,Masculino
Irene Kotter,37,66.2,Feminino
Jorge Lins,45,83.0,Masculino
```
